title,rating,review,date
Women's options???,2,There was like 5 shoes for women,2017-09-18T16:02:54Z
SELLER VERIFICATION,3,"The buying part of the app is good, but people shouldn't have to wait weeks to get verified to sell... If I don't get verified soon I'm going to stop business with goat and go somewhere else...",2017-09-17T18:35:33Z
Scam,1,"Worse shoe app ever! I ordered a pair of shoes and they took the money out of my account immediately but a day later they tell me the seller cancelled the order and I wouldn't get my money back for 3 business days. Now I don't have the shoes I ordered, the price has now shot up an extra $300 and I don't have my money.",2017-09-17T01:30:14Z
The app is not working,1,It told me to updated it but it just went straight to iTunes and not the regular app. What's going on been having the app since last year. It won't let me updated the app.,2017-09-16T05:24:50Z
Terrible job,1,Don't mark it as a shoe selling app if you can't get verified to sell shoes and it has been 4 weeks and still haven't been verified,2017-09-15T20:54:35Z
Le doy 5 para que lean,5,"El servicio es sÃºper tardado,casi 2 semanas en llegar los zapatos,la verdad no vuelvo a comprar nada aquÃ_.",2017-09-14T22:42:58Z
Does what I needed it to do,5,"It's fantastic, I wanted to buy shoes for low prices and that's what this app does. It sells amazing shoes for amazing prices.",2017-09-14T00:46:56Z
Awesome Customer Service,5,I had an issue that so many other companies wouldn't have helped with but I emailed them and they fixed everything very quickly and smoothly.  Also if you take your time and look through there are some good deals.,2017-09-13T04:21:54Z
Impressed,5,I just got this app and I'm already so pleased. I've always had to find the best shoes through my older brother since I'm worried about getting ripped off. This is an amazing place to get the most popular shoes at a lower price!!! I'm so glad I don't have to worry about getting knock offs or my money stolen anymore. Will definitely use this for all my future shoe purchases. 10/10 would definitely recommend.,2017-09-12T12:57:56Z
Five star worthy,5,This app really is five star worthy. It's reliable for all your shoe needs. In my case I just like to look at the new shoes and what not(everything is just so expensive). But all in all it's a great great app,2017-09-12T11:44:17Z
Not Worth It,1,"If you actually want a good sneaker app, StockX is the way to go. Don't bother with the insanely high mark ups here.",2017-09-12T08:46:12Z
Sad,1,Why can't I deliver shoes to Mexico,2017-09-12T03:02:48Z
