title,rating,review,date
Honest Review,3,"Here's my take on Goat, the app is clean and simple, easy to order and everything. I come from Montreal Canada, where adidas ultraboost or NMD's are inexistant. I bought a pair of triple white ultraboost on Goat that cost me 300$ canadian...quite expensive but I wanted the pair badly. It took about two weeks to receive them. It was UPS who brought them to my house and I had to pay 48$ of extra fees for the delivery. 350$ is quite a lot when you know places like Footlocker sold them for 240$ Canadian (but sold out in a couple hours).... I dont even know if they could but Goat really needs to find a way to bypass that delivery fee like when you order from Amazon, you pay shipping and thats it, no surprise charges. A lot of my friends are sneaker heads but now we cant really trust Goat since its so expensive to ship a pair of shoes.",2017-09-06T03:09:36Z
Wonderful app,5,Maybe a price sorter would make this app even better!,2017-08-30T17:28:01Z
I would recommend this to everyone _Ÿ‘Œ_Ÿè»,5,AMAZING!!,2017-08-28T22:34:57Z
Great app!,5,Fun app!,2017-08-28T01:31:27Z
Nice,5,Great app besides the fact that I'm in Canada and shipping is $35 _Ÿ˜©_Ÿ˜©_Ÿ˜©_Ÿ˜©_Ÿ˜©,2017-08-25T01:22:43Z
Amazing app,5,Amazing app but would be better if u could sort it by price,2017-08-23T01:14:06Z
Not working,1,"I got a new phone and tried logging back in and is not letting me and its wont even let me make a new account it keeps saying ""something went wrong"" plz fix i used this app before and it worked perfect",2017-08-19T03:27:43Z
It's grEat,5,Love this app,2017-08-17T10:27:59Z
Great app,4,Easy to use and good selections,2017-08-17T08:29:48Z
Prices,2,No point to get this app unless your gonna sell or buy rare shoes. They overprice everything PG 1 ivory cost 200 bucks on here while it costs 105 at footlocker. Would not recommend. Unless selling,2017-08-11T22:22:45Z
Amazing,5,This app is amazing shipping was amazing as well as there support they answered all my questions and helped with more. I was worried about them being fake but there not they are 100% real and I'd definitely buy from the app again _Ÿêê,2017-08-11T15:43:20Z
Awesome,5,So awesome and I am going to buy my shoes for school on this app! Keep up the good work guys!,2017-08-09T22:59:15Z
Nice,5,Great,2017-08-05T00:26:36Z
Most LEGIT shoe app,5,I've been looking for NMD's FOREVER! Someone recommended this app to me and since my first order I have been SO happy. GOAT is honestly the greatest shoe app of all time!,2017-08-04T12:11:04Z
Goat,4,Great app its all legit but it won't let me sell shoes,2017-08-02T01:32:32Z
Wonderful,5,Wonderful shoes no fakes plus quick delivery,2017-08-02T00:48:37Z
Yh,5,Great app,2017-08-01T15:27:16Z
_Ÿ˜Å_Ÿ‘ç,5,Been a member for a while now and really like the layout of the app. Easy way to get sick kicks that are usually hard to find/get,2017-07-28T15:53:49Z
Wow,5,Legit,2017-07-28T03:05:11Z
Great,5,Great app. You can get any shoe you want and when it stoves it's verified and packaged. I got a pair of ultra boosts.,2017-07-28T01:17:06Z
Dope,5,Reliable,2017-07-28T01:05:46Z
Goat,5,I like goats,2017-07-27T20:22:56Z
Great for sneaker heads,4,All around good app very user friendly but could work on better shipping to Canada. They use UPS who charge more at the door then others like USPS.,2017-07-27T18:15:35Z
Coolio,5,_Ÿ˜__Ÿ___Ÿè_,2017-07-27T02:48:25Z
Goat for a reason,5,_Ÿ‘ç_Ÿè__Ÿ‘ç_Ÿè__Ÿ‘ç_Ÿè__Ÿ‘ç_Ÿè_,2017-07-27T00:30:48Z
Best kicks,5,Best to cop fire,2017-07-26T18:41:39Z
Selling,1,Will not allow me to sell any pairs on the app.,2017-07-26T11:39:26Z
Excellent,5,It's legit. No bugs. Clear and good format.,2017-07-26T05:58:19Z
Gerat market to buy and sell kicks,5,:),2017-07-26T00:31:05Z
Good,5,Good,2017-07-25T19:42:57Z
"Great app, super easy to use internationally.",5,I'm in Canada but bidding in USD and having it converted was very easy. Only paid $10 brokerage fee and Canadian taxes at my door. Super efficient buying experience. 10/10 would recommend.,2017-07-23T16:31:05Z
This app is amazing,5,This is the best shoe app I have ever had,2017-07-20T13:02:06Z
Was pleasantly surprised. This app is legit.,5,"Ordered a pair of shoes on a Thursday - received them on Tuesday. Delivery was really quick and I'm in Toronto. The shoes were in perfect condition, as well as the packaging. Did have to pay a tax at the door, but not much. Prices are in US Dollars. Extremely happy with the app and the service. Will definitely order again!",2017-07-19T02:16:00Z
Goooooat,5,Very good app for limited kicks_Ÿ”¥_Ÿ”¥_Ÿ”¥,2017-07-18T21:46:06Z
Great,5,Very happy,2017-07-14T16:01:37Z
It's good,3,"It's good but it uses to much data, I know it's all pictures but still and some shoes there are multiple links to click on but each link has different sizes of shoe.. kinda questionable.",2017-07-14T10:31:57Z
Best site ever,5,Love the app and shoes are cheap and genuine,2017-07-12T19:34:34Z
Worst sneaker app ever...,1,I saw a few you tubers use this app so I tried it and bought a pair of yeezys. But they never came even after a month... and the general ship time is 7-10 days... makes no sense,2017-07-06T22:33:27Z
Wow my favorite âù_ï¸è_Ÿ˜±,4,Best app for shoes _Ÿ‘ ,2017-07-03T21:52:35Z
Good App,5,Good app,2017-07-01T04:37:52Z
Dope as f***,5,Love it,2017-06-30T17:59:58Z
Please,3,PLEASE find a way to implement other currencies so I don't have to do the conversion everytime I find a shoe.,2017-06-24T01:23:01Z
Awesome app,4,Really good ans trust worthy app but it would be way better if it had Canadian prices.,2017-06-22T16:02:20Z
Greatest Of All Time,5,"Awesome app, trustable and the prices are great! But please please please add Canadian prices",2017-06-17T20:21:54Z
Lit,5,cool,2017-06-14T23:35:09Z
Best sneaker head app,5,The app is very easy to use and you know you will get authentic shoes and not knockoffs,2017-06-13T03:23:49Z
It's great!!!,5,"Easy to use, Easy to find what you're looking for, and just all around great app.",2017-06-11T19:52:00Z
Meh,1,Honestly just meh,2017-06-09T03:14:52Z
Goat sucks,1,They'll be mia and so will your shoes.  No number to call.  Hardly any response after weeks.,2017-06-08T14:49:51Z
Best shoe app,5,This is my favourite show app_Ÿ_‘_Ÿ_‘_Ÿ_‘,2017-06-07T23:24:45Z
Bad,1,"This app is so disconnected with its users, it literally takes months to verify",2017-06-07T16:54:07Z
Great,5,Good,2017-06-02T21:21:05Z
Fantastic.,5,Very easy and very fast shipping. If you order on a Monday you get it before the end of the week in Canada.,2017-06-02T02:41:16Z
Best,5,I find most of the shoes I like on this site,2017-05-30T15:15:09Z
Great app,4,"Only thing that needs to be fixed is the pricing, everything is a little bit over priced",2017-05-30T14:34:56Z
Number 1,5,Best app ever,2017-05-26T06:07:26Z
One of the Best Shopping Apps out there!!!,5,Love the ease of access to such a wide variety of shoes. Would definitely recommend you download!!!,2017-05-22T22:09:37Z
What!!!???!!,5,This app is flippen awesome! But I'm in Canada so it really really sucks to be paying taxes and shipping for the shoes you want. Still 5/5 cause the app is great!,2017-05-20T21:14:02Z
Beautiful prices and beautiful shoes!_Ÿ”¥_Ÿ”¥_Ÿ‘ç_Ÿ‘ç,5,Amazing app with amazing prices _Ÿ”¥_Ÿ”¥_Ÿ_˜_Ÿè»_Ÿ_˜_Ÿè»_Ÿ_˜_Ÿè»_Ÿ_˜_Ÿè»_Ÿ˜€_Ÿ˜€_Ÿ˜€_Ÿ˜€_Ÿ‘Œ_Ÿ‘Œ_Ÿ‘Œ_Ÿ˜‚_Ÿ˜‚_Ÿ‘ç_Ÿ‘ç,2017-05-19T19:57:16Z
Pretty cool I guess,5,_Ÿ‘ç,2017-05-18T21:23:21Z
Easy to use,5,"Great app, really like the layout and the easy to use features.",2017-05-15T23:17:24Z
5 star,5,Nice,2017-05-09T21:20:18Z
Great App!!!!!,5,THIS IS A RESELLER APP! Some of the reviewers don't realize that this is a sneaker reseller app!!! I ordered triple white ultraboost 1.0's and they were 100% legit. GOAT verifies the sneakers and sends them to your home. This is a great app to find your favourite sneakers for a reasonable price! Recommend highly:),2017-04-26T19:16:11Z
Great,5,Great,2017-04-26T00:52:34Z
